CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
09011916000000|Portocel||09011900000000|04|Y|Q|A
09011917000000|Praia Mole||09011900000000|04|Y|Q|A
09011918000000|Recife||09011900000000|04|Y|Q|A
09011919000000|Rio de Janeiro||09011900000000|04|Y|Q|A
09011920000000|Rio Grande||09011900000000|04|Y|Q|A
09011921000000|Salvador||09011900000000|04|Y|Q|A
09011922000000|Santana||09011900000000|04|Y|Q|A
09011923000000|Santarem||09011900000000|04|Y|Q|A
09011924000000|Santos||09011900000000|04|Y|Q|A
09011925000000|Sao Francisco do Sul||09011900000000|04|Y|Q|A
09011926000000|Sao Luis||09011900000000|04|Y|Q|A
09011927000000|Sepetiba||09011900000000|04|Y|Q|A
09011928000000|Suape||09011900000000|04|Y|Q|A
09011929000000|Vila do Conde||09011900000000|04|Y|Q|A
09011930000000|Vitoria||09011900000000|04|Y|Q|A
09012000000000|British Virgin Islands||09010000000000|03|N||
09012001000000|Tortola||09012000000000|04|Y|Q|A
09012002000000|Virgin Gorda||09012000000000|04|Y|Q|A
09012100000000|Brunei Darussalam||09010000000000|03|N||
09012101000000|Muara||09012100000000|04|Y|Q|A
09012200000000|Bulgaria||09010000000000|03|N||
09012201000000|Bourgas||09012200000000|04|Y|Q|A
09012202000000|Varna||09012200000000|04|Y|Q|A
09012300000000|Cabo Verde||09010000000000|03|N||
09012301000000|Mindelo||09012300000000|04|Y|Q|A
09012302000000|Palmeira||09012300000000|04|Y|Q|A
09012303000000|Porto Novo||09012300000000|04|Y|Q|A
09012304000000|Porto Praia||09012300000000|04|Y|Q|A
09012305000000|Sal Rei||09012300000000|04|Y|Q|A
09012306000000|St Vincent||09012300000000|04|Y|Q|A
09012400000000|Cambodia||09010000000000|03|N||
09012401000000|Sihanoukville||09012400000000|04|Y|Q|A
09012500000000|Cameroon||09010000000000|03|N||
09012501000000|Douala||09012500000000|04|Y|Q|A
09012502000000|Kribi||09012500000000|04|Y|Q|A
09012600000000|Canada||09010000000000|03|N||
09012601000000|Argentia||09012600000000|04|Y|Q|A
09012602000000|Bayside||09012600000000|04|Y|Q|A
09012603000000|Chemainus||09012600000000|04|Y|Q|A
09012604000000|Corner Brook||09012600000000|04|Y|Q|A
09012605000000|Crofton||09012600000000|04|Y|Q|A
09012606000000|Goose Bay||09012600000000|04|Y|Q|A
09012607000000|Halifax||09012600000000|04|Y|Q|A
09012608000000|Hamilton (CA)||09012600000000|04|Y|Q|A
09012609000000|Kitimat||09012600000000|04|Y|Q|A
09012610000000|Lewisporte||09012600000000|04|Y|Q|A
09012611000000|Liverpool (CA)||09012600000000|04|Y|Q|A
09012612000000|Matane||09012600000000|04|Y|Q|A
09012613000000|Montreal||09012600000000|04|Y|Q|A
09012614000000|Nanaimo||09012600000000|04|Y|Q|A
09012615000000|New Westminster||09012600000000|04|Y|Q|A
09012616000000|Picton (CA)||09012600000000|04|Y|Q|A
09012617000000|Pictou||09012600000000|04|Y|Q|A
09012618000000|Port Mellon||09012600000000|04|Y|Q|A
09012619000000|Prince Rupert||09012600000000|04|Y|Q|A
09012620000000|Quebec||09012600000000|04|Y|Q|A
09012621000000|Saint John||09012600000000|04|Y|Q|A
09012622000000|Shellburn||09012600000000|04|Y|Q|A
09012623000000|Sorel||09012600000000|04|Y|Q|A
09012624000000|Squamish||09012600000000|04|Y|Q|A
09012625000000|St John's (CA)||09012600000000|04|Y|Q|A
09012626000000|Toronto||09012600000000|04|Y|Q|A
09012627000000|Trois-Rivieres||09012600000000|04|Y|Q|A
09012628000000|Vancouver (CA)||09012600000000|04|Y|Q|A
09012629000000|Windsor||09012600000000|04|Y|Q|A
09012700000000|Cayman Islands||09010000000000|03|N||
09012701000000|George Town||09012700000000|04|Y|Q|A
09012800000000|Chile||09010000000000|03|N||
09012801000000|Antofagasta||09012800000000|04|Y|Q|A
09012802000000|Arica||09012800000000|04|Y|Q|A
09012803000000|Chacabuco||09012800000000|04|Y|Q|A
09012804000000|Chanaral||09012800000000|04|Y|Q|A
09012805000000|Coquimbo||09012800000000|04|Y|Q|A
09012806000000|Coronel||09012800000000|04|Y|Q|A
09012807000000|Iquique||09012800000000|04|Y|Q|A
09012808000000|Lirquen||09012800000000|04|Y|Q|A
09012809000000|Mejillones||09012800000000|04|Y|Q|A
09012810000000|Puerto Angamos||09012800000000|04|Y|Q|A
09012811000000|Puerto Caldera||09012800000000|04|Y|Q|A
09012812000000|Puerto Montt||09012800000000|04|Y|Q|A
09012813000000|Puerto Natales||09012800000000|04|Y|Q|A
09012814000000|Punta Arenas||09012800000000|04|Y|Q|A
09012815000000|San Antonio (CL)||09012800000000|04|Y|Q|A
09012816000000|San Vicente||09012800000000|04|Y|Q|A
09012817000000|Talcahuano||09012800000000|04|Y|Q|A
09012818000000|Valparaiso||09012800000000|04|Y|Q|A
09012900000000|China||09010000000000|03|N||
09012901000000|Caodeidian||09012900000000|04|Y|Q|A
09012902000000|Changshu||09012900000000|04|Y|Q|A
09012903000000|Changzhou||09012900000000|04|Y|Q|A
09012904000000|Chiwan||09012900000000|04|Y|Q|A
09012905000000|Da chan Bay||09012900000000|04|Y|Q|A
09012906000000|Dafeng||09012900000000|04|Y|Q|A
09012907000000|Dalian||09012900000000|04|Y|Q|A
09012908000000|Dandon||09012900000000|04|Y|Q|A
09012909000000|Dongguan||09012900000000|04|Y|Q|A
09012910000000|Dongjiangkou||09012900000000|04|Y|Q|A
09012911000000|Fangcheng||09012900000000|04|Y|Q|A
09012912000000|Fuqing||09012900000000|04|Y|Q|A
09012913000000|Fuzhou||09012900000000|04|Y|Q|A
09012914000000|Guangzhou||09012900000000|04|Y|Q|A
09012915000000|Guangzhou (Canton)||09012900000000|04|Y|Q|A
09012916000000|Haikou||09012900000000|04|Y|Q|A
09012917000000|Hong Kong SAR, Hong Kong||09012900000000|04|Y|Q|A
09012918000000|Huanghua||09012900000000|04|Y|Q|A
09012919000000|Huangpu||09012900000000|04|Y|Q|A
09012920000000|Huizhou||09012900000000|04|Y|Q|A
09012921000000|Humen||09012900000000|04|Y|Q|A
09012922000000|Jiangyin||09012900000000|04|Y|Q|A
09012923000000|Jiaxing||09012900000000|04|Y|Q|A
09012924000000|Jingtang||09012900000000|04|Y|Q|A
09012925000000|Jinzhou||09012900000000|04|Y|Q|A
09012926000000|Jiujiang||09012900000000|04|Y|Q|A
09012927000000|Jiuzhou||09012900000000|04|Y|Q|A
09012928000000|Lianyungang||09012900000000|04|Y|Q|A
09012929000000|Longkou||09012900000000|04|Y|Q|A
09012930000000|Mawan||09012900000000|04|Y|Q|A
09012931000000|Nanjing||09012900000000|04|Y|Q|A
09012932000000|Nansha||09012900000000|04|Y|Q|A
09012933000000|Nantong||09012900000000|04|Y|Q|A
09012934000000|Ningbo||09012900000000|04|Y|Q|A
09012935000000|Panjin||09012900000000|04|Y|Q|A
09012936000000|Qingdao||09012900000000|04|Y|Q|A
09012937000000|Qinhuangdao||09012900000000|04|Y|Q|A
09012938000000|Qinzhou||09012900000000|04|Y|Q|A
09012939000000|Quanzhou||09012900000000|04|Y|Q|A
09012940000000|Rizhao||09012900000000|04|Y|Q|A
09012941000000|Shanghai||09012900000000|04|Y|Q|A
09012942000000|Shantou||09012900000000|04|Y|Q|A
09012943000000|Shekou||09012900000000|04|Y|Q|A
09012944000000|Shenzhen||09012900000000|04|Y|Q|A
09012945000000|Shidao||09012900000000|04|Y|Q|A
09012946000000|Taicang||09012900000000|04|Y|Q|A
09012947000000|Taiwan Province of, Kaohsiung||09012900000000|04|Y|Q|A
09012948000000|Taiwan Province of, Keelung||09012900000000|04|Y|Q|A
09012949000000|Taiwan Province of, Mai-Liao||09012900000000|04|Y|Q|A
09012950000000|Taiwan Province of, Taichung||09012900000000|04|Y|Q|A
09012951000000|Taiwan Province of, Taipei||09012900000000|04|Y|Q|A
09012952000000|Taizhou||09012900000000|04|Y|Q|A
09012953000000|Tangshan||09012900000000|04|Y|Q|A
09012954000000|Tianjin||09012900000000|04|Y|Q|A
09012955000000|Weifang||09012900000000|04|Y|Q|A
09012956000000|Weihai||09012900000000|04|Y|Q|A
09012957000000|Weitou||09012900000000|04|Y|Q|A
09012958000000|Wenzhou||09012900000000|04|Y|Q|A
09012959000000|Wiehai||09012900000000|04|Y|Q|A
09012960000000|Wuhan||09012900000000|04|Y|Q|A
09012961000000|Xiamen||09012900000000|04|Y|Q|A
09012962000000|Xingang||09012900000000|04|Y|Q|A
09012963000000|Xinsha||09012900000000|04|Y|Q|A
09012964000000|Yangpu||09012900000000|04|Y|Q|A
09012965000000|Yantai||09012900000000|04|Y|Q|A
09012966000000|Yantian||09012900000000|04|Y|Q|A
09012967000000|Yingkou||09012900000000|04|Y|Q|A
09012968000000|Zha Pu||09012900000000|04|Y|Q|A
09012969000000|Zhangjiagang||09012900000000|04|Y|Q|A
09012970000000|Zhangzhou||09012900000000|04|Y|Q|A
09012971000000|Zhanjiang||09012900000000|04|Y|Q|A
09012972000000|Zhapu||09012900000000|04|Y|Q|A
09012973000000|Zhenjiang||09012900000000|04|Y|Q|A
09012974000000|Zhousan||09012900000000|04|Y|Q|A
09012975000000|Zhuhai||09012900000000|04|Y|Q|A
09013000000000|Christmas Island||09010000000000|03|N||
09013001000000|Flying Fish Cove||09013000000000|04|Y|Q|A
09013100000000|Cocos (Keeling) Islands||09010000000000|03|N||
09013101000000|Port Refuge||09013100000000|04|Y|Q|A
09013200000000|Colombia||09010000000000|03|N||
09013201000000|Barranquilla||09013200000000|04|Y|Q|A
09013202000000|Buenaventura||09013200000000|04|Y|Q|A
09013203000000|Cartagena (CO)||09013200000000|04|Y|Q|A
09013204000000|Leticia||09013200000000|04|Y|Q|A
09013205000000|Puerto Bolivar (CO)||09013200000000|04|Y|Q|A
09013206000000|San Andres||09013200000000|04|Y|Q|A
09013207000000|Santa Marta||09013200000000|04|Y|Q|A
09013208000000|Tolu||09013200000000|04|Y|Q|A
09013209000000|Turbo||09013200000000|04|Y|Q|A
09013300000000|Comoros||09010000000000|03|N||
09013301000000|Moroni||09013300000000|04|Y|Q|A
09013302000000|Mutsamudu||09013300000000|04|Y|Q|A
09013400000000|Congo||09010000000000|03|N||
09013401000000|Pointe Noire||09013400000000|04|Y|Q|A
09013500000000|Cook Islands||09010000000000|03|N||
09013501000000|Aitutaki||09013500000000|04|Y|Q|A
09013502000000|Rarotonga||09013500000000|04|Y|Q|A
09013600000000|Costa Rica||09010000000000|03|N||
09013601000000|Caldera||09013600000000|04|Y|Q|A
09013602000000|Limon||09013600000000|04|Y|Q|A
09013603000000|Moin||09013600000000|04|Y|Q|A
09013700000000|Cote d'Ivoire||09010000000000|03|N||
09013701000000|Abidjan||09013700000000|04|Y|Q|A
09013702000000|San Pedro (CI)||09013700000000|04|Y|Q|A
09013800000000|Croatia||09010000000000|03|N||
09013801000000|Ploce||09013800000000|04|Y|Q|A
09013802000000|Rijeka||09013800000000|04|Y|Q|A
09013803000000|Split||09013800000000|04|Y|Q|A
09013804000000|Zadar||09013800000000|04|Y|Q|A
09013900000000|Cuba||09010000000000|03|N||
09013901000000|Havana||09013900000000|04|Y|Q|A
09013902000000|Mariel||09013900000000|04|Y|Q|A
09013903000000|Moa||09013900000000|04|Y|Q|A
09013904000000|Santiago||09013900000000|04|Y|Q|A
09014000000000|Curacao||09010000000000|03|N||
09014001000000|Willemstad||09014000000000|04|Y|Q|A
09014100000000|Cyprus||09010000000000|03|N||
09014101000000|Famagusta||09014100000000|04|Y|Q|A
09014102000000|Limassol||09014100000000|04|Y|Q|A
09014200000000|Dem. People's Rep. of Korea||09010000000000|03|N||
09014201000000|Nampo||09014200000000|04|Y|Q|A
09014300000000|Dem. Rep. of the Congo||09010000000000|03|N||
09014301000000|Banana||09014300000000|04|Y|Q|A
09014302000000|Boma||09014300000000|04|Y|Q|A
09014303000000|Matadi||09014300000000|04|Y|Q|A
09014400000000|Denmark||09010000000000|03|N||
09014401000000|Aabenraa||09014400000000|04|Y|Q|A
09014402000000|Aalborg||09014400000000|04|Y|Q|A
09014403000000|Aarhus||09014400000000|04|Y|Q|A
09014404000000|Copenhagen||09014400000000|04|Y|Q|A
09014405000000|Esbjerg||09014400000000|04|Y|Q|A
09014406000000|Fredericia||09014400000000|04|Y|Q|A
09014407000000|Frederikshaven||09014400000000|04|Y|Q|A
09014408000000|Grenaa||09014400000000|04|Y|Q|A
09014409000000|Hanstholm||09014400000000|04|Y|Q|A
09014410000000|Hirtshals||09014400000000|04|Y|Q|A
09014411000000|Horsens||09014400000000|04|Y|Q|A
09014412000000|Hundested||09014400000000|04|Y|Q|A
09014413000000|Kalundborg||09014400000000|04|Y|Q|A
09014414000000|Mariager||09014400000000|04|Y|Q|A
09014415000000|Skagen||09014400000000|04|Y|Q|A
09014500000000|Djibouti||09010000000000|03|N||
09014501000000|Djibouti||09014500000000|04|Y|Q|A
09014600000000|Dominica||09010000000000|03|N||
09014601000000|Roseau||09014600000000|04|Y|Q|A
