CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
03010201020111|BCI C8_14: 180,000mt, Gibraltar/Hamburg transatlantic round voyage||03010201020100|07|Y|Y,Q,M|C
03010201020112|BCI C9_14: 180,000mt, Continent/Mediterranean trip China-Japan||03010201020100|07|Y|Y,Q,M|C
03010201020113|Average of the 4 T/C Routes for Baltic Capesize Index, 172,000mt||03010201020100|07|Y|Y,Q,M|C
03010201020114|Baltic Exchange Capesize Index, 172,000mt||03010201020100|07|Y|Y,Q,M|C
03010201020115|BCI C10_03:172,000mt Nopac round voyage||03010201020100|07|Y|Y,Q,M|C
03010201020116|BCI C11_03: 172,000mt China/Japan trip Mediterranean/Continent||03010201020100|07|Y|Y,Q,M|C
03010201020117|BCI C12: 150,000mt Gladstone/Rotterdam||03010201020100|07|Y|Y,Q,M|C
03010201020118|BCI C15: Richards Bay/Fangcheng, 160,000mt||03010201020100|07|Y|Y,Q,M|C
03010201020119|BCI C4: Richards Bay/Rotterdam, 150,000 mt||03010201020100|07|Y|Y,Q,M|C
03010201020120|BCI C8_03: 172,000mt Gibraltar/Hamburg trans-Atlantic round voyage||03010201020100|07|Y|Y,Q,M|C
03010201020121|BCI C9_03: 172,000mt Continent/Mediterranean trip Far East||03010201020100|07|Y|Y,Q,M|C
03010201030000|Panamax Bulker||03010201000000|05|N||
03010201030100|Baltic Panamax Index||03010201030000|06|N||
03010201030101|Average of the 4 T/C Routes for BPI-74||03010201030100|07|Y|Y,Q,M|C
03010201030102|Average of the 5 T/C Routes for BPI-82||03010201030100|07|Y|Y,Q,M|C
03010201030103|Baltic Exchange Panamax Index||03010201030100|07|Y|Y,Q,M|C
03010201030104|BPI P1A_03: 74,000mt trans-Atlantic round voyage||03010201030100|07|Y|Y,Q,M|C
03010201030105|BPI P1A_82: 82,500mt Trans-Atlantic Round Voyage||03010201030100|07|Y|Y,Q,M|C
03010201030106|BPI P2A_03: 74,000mt Skaw-Gibraltar/Far East||03010201030100|07|Y|Y,Q,M|C
03010201030107|BPI P2A_82: 82,500mt Skaw-Gibraltar/Far East||03010201030100|07|Y|Y,Q,M|C
03010201030108|BPI P3A_03: 74,000mt Japan-S.Korea Nopac round voyage||03010201030100|07|Y|Y,Q,M|C
03010201030109|BPI P3A_82: 82,500mt Japan-S.Korea Nopac Round Voyage||03010201030100|07|Y|Y,Q,M|C
03010201030110|BPI P4_82: 82,500mt Japan-S.Korea to Gibralter-Skaw||03010201030100|07|Y|Y,Q,M|C
03010201030111|BPI P5_82: 82,500mt S China/HK range Indo Round Voyage||03010201030100|07|Y|Y,Q,M|C
03010201030112|BPI P6_82: 82,500mt Singapore via Atlantic to Far East||03010201030100|07|Y|Y,Q,M|C
03010201030113|BPI P1: 55,000lt lights USG/ARA||03010201030100|07|Y|Y,Q,M|C
03010201030114|BPI P2: 54,000lt HSS USG/Japan||03010201030100|07|Y|Y,Q,M|C
03010201030115|BPI P3: 54,000lt HSS Nopac/Japan||03010201030100|07|Y|Y,Q,M|C
03010201030116|BPI P3A-IV Implied Voyage Newcastle-Qingdao||03010201030100|07|Y|Y,Q,M|C
03010201030117|BPI P4A_03: 74,000mt Far East via Nopac/Skaw-Passero||03010201030100|07|Y|Y,Q,M|C
03010201030118|BPI P5: 74,000mt S China/HK range Indo RV||03010201030100|07|Y|Y,Q,M|C
03010201040000|Handymax Bulker||03010201000000|05|N||
03010201040100|Baltic Supramax Index||03010201040000|06|N||
03010201040101|Average of the 10 T/C Routes for BSI-58||03010201040100|07|Y|Y,Q,M|C
03010201040102|Average of the 11 T/C Routes for BSI-63||03010201040100|07|Y|Y,Q,M|C
03010201040103|Average of the 3 T/C Routes for Baltic Supramax Asia||03010201040100|07|Y|Y,Q,M|C
03010201040104|Baltic Exchange Supramax Index||03010201040100|07|Y|Y,Q,M|C
03010201040105|BSI 58 Route S10: South China trip via Indonesia to South China||03010201040100|07|Y|Y,Q,M|C
03010201040106|BSI 58 Route S1B: Canakkale trip via Med or BI Sea to China-South Korea||03010201040100|07|Y|Y,Q,M|C
03010201040107|BSI 58 Route S1C: US Gulf trip to China-South Japan||03010201040100|07|Y|Y,Q,M|C
03010201040108|BSI 58 Route S2: North China to Australian or Pacicfic round voyage||03010201040100|07|Y|Y,Q,M|C
03010201040109|BSI 58 Route S3: North China trip to West Africa||03010201040100|07|Y|Y,Q,M|C
03010201040110|BSI 58 Route S4A: US Gulf to Skaw-Passero||03010201040100|07|Y|Y,Q,M|C
03010201040111|BSI 58 Route S4B: Skaw-Passero trip to US Gulf||03010201040100|07|Y|Y,Q,M|C
03010201040112|BSI 58 Route S5: West Africa trip via ECSA to north China||03010201040100|07|Y|Y,Q,M|C
03010201040113|BSI 58 Route S8: South China trip via Indonesia to East Coast India||03010201040100|07|Y|Y,Q,M|C
03010201040114|BSI 58 Route S9: West Africa trip via ECSA to Skaw-Passero||03010201040100|07|Y|Y,Q,M|C
03010201040115|BSI 63 Route S10: South China trip via Indonesia to South China||03010201040100|07|Y|Y,Q,M|C
03010201040116|BSI 63 Route S15: Indian Ocean trip via South Africa to Far East||03010201040100|07|Y|Y,Q,M|C
03010201040117|BSI 63 Route S1B: Canakkale trip via Med or Bl Sea to China-South Korea||03010201040100|07|Y|Y,Q,M|C
03010201040118|BSI 63 Route S1C: US Gulf trip to China-South Japan||03010201040100|07|Y|Y,Q,M|C
03010201040119|BSI 63 Route S2: North China one Australian or Pacific round voyage||03010201040100|07|Y|Y,Q,M|C
03010201040120|BSI 63 Route S3: North China trip to West Africa||03010201040100|07|Y|Y,Q,M|C
03010201040121|BSI 63 Route S4A: US Gulf trip to Skaw-Passero||03010201040100|07|Y|Y,Q,M|C
